1, 2, 3, 4 - parity: even
1, 2, 4, 3 - parity: odd
1, 3, 2, 4 - parity: even
1, 3, 4, 2 - parity: odd
1, 4, 3, 2 - parity: even
1, 4, 2, 3 - parity: odd
2, 1, 3, 4 - parity: even
2, 1, 4, 3 - parity: odd
2, 3, 1, 4 - parity: even
2, 3, 4, 1 - parity: odd
2, 4, 3, 1 - parity: even
2, 4, 1, 3 - parity: odd
3, 2, 1, 4 - parity: even
3, 2, 4, 1 - parity: odd
3, 1, 2, 4 - parity: even
3, 1, 4, 2 - parity: odd
3, 4, 1, 2 - parity: even
3, 4, 2, 1 - parity: odd
4, 2, 3, 1 - parity: even
4, 2, 1, 3 - parity: odd
4, 3, 2, 1 - parity: even
4, 3, 1, 2 - parity: odd
4, 1, 3, 2 - parity: even
4, 1, 2, 3 - parity: odd
1, 2, 3, 4 - parity: even
1, 2, 4, 3 - parity: odd
1, 3, 2, 4 - parity: even
1, 3, 4, 2 - parity: odd
1, 4, 3, 2 - parity: even
1, 4, 2, 3 - parity: odd
2, 1, 3, 4 - parity: even
2, 1, 4, 3 - parity: odd
2, 3, 1, 4 - parity: even
2, 3, 4, 1 - parity: odd
2, 4, 3, 1 - parity: even
2, 4, 1, 3 - parity: odd
3, 2, 1, 4 - parity: even
3, 2, 4, 1 - parity: odd
3, 1, 2, 4 - parity: even
3, 1, 4, 2 - parity: odd
3, 4, 1, 2 - parity: even
3, 4, 2, 1 - parity: odd
4, 2, 3, 1 - parity: even
4, 2, 1, 3 - parity: odd
4, 3, 2, 1 - parity: even
4, 3, 1, 2 - parity: odd
4, 1, 3, 2 - parity: even
4, 1, 2, 3 - parity: odd
